fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
7.203,0.725,0.05,4.652,0.086,3.831,10.684,0.996,3.41,0.392,10.909,5
7.513,0.518,0.11,1.502,0.079,10.944,39.621,0.997,3.42,0.578,9.601,5
6.599,0.705,0.072,1.601,0.077,6.043,14.779,0.996,3.439,0.58,10.689,5
9.296,0.316,0.574,2.004,0.074,26.992,65.104,0.997,3.281,0.79,10.69,5
7.999,0.705,0.052,1.906,0.074,7.994,19.122,0.996,3.339,0.95,10.5,6
7.722,0.634,0.08,1.906,0.077,14.837,26.722,0.997,3.32,0.541,9.517,6
7.678,0.669,0.23,2.1,0.087,17.012,96.02,0.996,3.322,0.481,9.499,5
7.698,0.692,0.224,1.911,0.084,18.024,93.647,0.996,3.309,0.48,9.498,5
8.259,0.678,0.261,2.101,0.084,11.008,43.12,0.998,3.308,0.527,9.203,4
9.724,0.32,0.536,2.501,0.094,28.08,83.574,0.998,3.28,0.82,9.61,5
8.823,0.412,0.638,2.19,0.092,8.982,42.196,0.999,3.54,0.659,10.491,5
8.793,0.412,0.64,2.218,0.093,9.065,42.274,0.999,3.541,0.659,10.488,5
6.773,0.784,0.002,2.413,0.104,13.993,29.784,0.997,3.52,0.55,10.704,6
6.69,0.746,0.118,2.013,0.086,11.881,80.177,0.996,3.378,0.522,10.111,5
8.298,0.625,0.2,1.518,0.08,26.888,118.796,0.997,3.161,1.12,9.119,4
6.208,0.45,0.202,1.599,0.069,3.05,14.783,0.996,3.412,0.557,9.202,5
7.826,0.432,0.701,1.878,0.464,21.997,66.938,0.997,3.132,1.276,9.397,5
7.418,0.498,0.468,1.987,0.086,21.006,72.968,0.997,3.356,0.57,9.094,5
7.34,0.669,0.261,1.796,0.401,16.035,51.298,0.997,3.161,1.141,9.404,5
6.311,0.302,0.48,1.798,0.069,18.029,61.387,0.996,3.44,0.783,10.31,6
6.874,0.548,0.154,2.194,0.076,19.059,39.858,0.996,3.412,0.59,10.1,5
8.608,0.491,0.281,1.92,0.11,19.956,135.771,0.997,2.929,1.951,9.917,6
7.69,0.49,0.261,1.886,0.062,8.908,30.538,0.997,3.391,0.64,9.615,5
9.304,0.387,0.442,2.102,0.107,34.018,124.716,0.998,3.14,1.217,9.491,5
7.031,0.621,0.08,1.824,0.076,7.845,23.996,0.998,3.482,0.531,9.007,5
7.843,0.52,0.26,1.902,0.078,41.897,139.682,0.996,3.23,0.539,9.508,5
8.596,0.494,0.28,1.904,0.11,20.256,136.901,0.997,2.926,1.948,9.894,6
8.596,0.492,0.291,1.99,0.11,18.721,132.573,0.997,2.931,1.979,9.804,5
7.686,0.493,0.258,1.897,0.062,8.783,31.077,0.997,3.389,0.641,9.604,5
5.0,1.024,0.038,1.381,0.045,40.903,84.836,0.994,3.75,0.48,10.496,4
4.711,0.602,0.169,2.329,0.057,16.859,105.822,0.993,3.848,0.6,12.911,6
6.805,0.774,0.002,2.984,0.102,8.055,22.816,0.996,3.449,0.56,10.724,5
6.999,0.495,0.249,1.976,0.071,2.859,22.681,0.996,3.248,0.631,9.211,5
7.614,0.903,0.058,2.5,0.078,4.874,9.448,0.997,3.389,0.562,9.805,5
8.111,0.546,0.183,1.917,0.08,13.093,35.215,0.997,3.3,0.591,8.993,6
8.302,0.612,0.296,2.132,0.085,11.113,50.285,0.997,3.402,0.614,10.209,6
7.799,0.5,0.299,1.907,0.076,8.032,22.085,0.996,3.311,0.561,10.405,6
8.08,0.546,0.183,1.901,0.08,13.119,34.853,0.997,3.299,0.591,9.009,6
8.094,0.576,0.222,2.09,0.076,11.914,65.41,0.997,3.291,0.511,9.196,5
7.2,0.49,0.24,2.228,0.069,4.849,35.477,0.996,3.328,0.482,9.381,5
8.121,0.575,0.217,2.108,0.078,12.146,64.547,0.997,3.292,0.51,9.184,5
7.793,0.408,0.679,1.701,0.468,17.925,68.756,0.997,3.082,1.309,9.312,5
6.189,0.628,0.312,1.715,0.088,15.057,64.213,0.997,3.461,0.793,9.292,5
7.986,0.332,0.53,2.494,0.091,18.024,79.697,0.998,3.37,0.8,9.606,6
8.071,0.784,0.521,1.987,0.122,37.111,153.323,0.997,3.213,0.689,9.316,5
7.826,0.561,0.189,1.801,0.104,11.939,47.172,0.996,3.19,0.929,9.494,5
8.405,0.62,0.087,2.169,0.084,11.092,107.834,0.996,3.151,0.657,9.784,5
8.419,0.6,0.1,2.185,0.084,14.005,111.614,0.996,3.151,0.66,9.803,5
10.106,0.31,0.444,2.3,0.08,21.92,45.851,0.999,3.32,0.668,9.71,6
7.814,0.559,0.191,1.792,0.104,11.824,47.45,0.996,3.189,0.93,9.521,5
9.352,0.401,0.314,2.181,0.09,12.968,62.039,0.997,3.07,0.628,10.496,6
8.309,0.54,0.28,1.888,0.076,11.22,39.786,0.998,3.391,0.609,10.004,6
7.801,0.562,0.121,2.025,0.082,6.895,27.92,0.997,3.37,0.498,9.381,6
8.793,0.546,0.042,2.178,0.12,13.993,55.902,0.996,3.212,0.602,10.898,6
7.006,0.692,0.076,1.82,0.097,21.97,88.255,0.996,3.339,0.541,9.178,6
7.293,1.069,0.09,1.71,0.178,9.944,89.01,0.996,3.301,0.573,9.002,5
8.79,0.551,0.041,2.214,0.119,13.971,55.814,0.996,3.209,0.598,10.91,6
7.292,0.693,-0.001,2.495,0.075,3.173,13.216,0.998,3.491,0.522,9.208,5
7.971,0.712,0.001,2.605,0.08,11.146,34.165,0.998,3.443,0.532,9.501,5
7.815,0.499,0.168,1.614,0.082,21.025,102.032,0.996,3.39,0.478,9.491,5
9.002,0.62,0.041,1.931,0.146,27.096,90.351,0.998,3.16,0.699,9.385,5
8.244,1.331,0.0,1.714,0.081,3.151,12.41,0.996,3.53,0.487,10.898,5
8.085,1.329,-0.003,1.81,0.082,2.875,11.306,0.996,3.541,0.482,10.901,5
7.98,0.591,0.156,1.818,0.065,2.878,16.308,0.996,3.419,0.919,10.492,7
6.05,0.384,0.15,1.796,0.072,5.966,18.666,0.996,3.419,0.568,9.418,5
7.969,0.744,0.562,2.008,0.118,30.014,133.723,0.997,3.24,0.66,9.395,5
5.593,0.498,0.091,2.324,0.049,16.837,99.168,0.994,3.63,0.629,12.991,5
5.604,0.502,0.087,2.314,0.048,16.993,99.64,0.994,3.63,0.631,12.99,5
6.589,0.499,0.008,1.477,0.06,17.034,26.462,0.995,3.398,0.581,9.809,6
7.873,1.042,0.052,2.22,0.084,13.059,28.852,0.996,3.222,0.548,9.888,6
8.369,0.745,0.111,1.902,0.091,16.024,63.1,0.996,3.189,0.822,9.602,5
8.293,0.714,0.15,1.787,0.09,9.959,51.408,0.997,3.232,0.77,9.499,5
7.188,0.416,0.36,1.985,0.081,13.054,45.106,0.997,3.48,0.639,9.189,5
7.784,0.562,0.189,2.098,0.081,14.829,105.629,0.996,3.33,0.54,9.475,5
7.82,0.557,0.19,2.009,0.081,16.814,108.144,0.996,3.319,0.54,9.523,5
8.403,0.748,0.111,1.918,0.09,16.131,62.447,0.996,3.191,0.822,9.618,5
8.268,0.716,0.149,1.82,0.09,10.059,52.149,0.997,3.232,0.768,9.5,5
5.198,0.34,0.002,1.8,0.05,27.118,62.542,0.992,3.679,0.791,13.997,6
6.322,0.389,0.078,1.677,0.066,3.06,20.217,0.995,3.34,0.578,9.38,5
5.208,0.34,-0.001,1.813,0.049,26.97,63.03,0.992,3.68,0.792,13.995,6
8.094,0.668,0.546,1.823,0.117,31.827,141.123,0.997,3.172,0.619,9.398,5
5.818,0.681,0.021,1.8,0.088,21.028,93.848,0.994,3.54,0.519,10.008,5
7.594,0.491,0.26,1.607,0.236,9.927,87.973,0.997,3.111,0.8,9.316,5
6.894,0.488,0.099,2.286,0.074,11.847,29.663,0.996,3.421,0.579,10.208,6
8.201,0.396,0.438,2.799,0.089,11.136,42.536,0.998,3.531,0.609,10.49,6
7.292,0.33,0.47,2.1,0.077,4.936,11.581,0.996,3.328,0.531,10.295,6
9.204,0.517,0.999,3.39,0.61,31.928,69.434,1.0,2.74,1.995,9.391,4
7.53,0.602,0.031,1.808,0.094,25.182,98.925,0.995,3.348,0.538,10.09,5
7.485,0.6,0.028,1.813,0.095,25.018,99.771,0.995,3.35,0.54,10.088,5
7.098,0.429,0.419,5.511,0.07,29.088,129.304,0.997,3.419,0.724,10.504,5
7.111,0.43,0.421,5.492,0.07,28.145,128.077,0.997,3.421,0.711,10.53,5
7.122,0.427,0.421,5.51,0.069,28.988,128.623,0.997,3.418,0.721,10.501,5
7.111,0.43,0.419,5.497,0.071,27.921,128.104,0.997,3.419,0.71,10.513,5
7.068,0.679,-0.0,2.209,0.073,12.021,21.427,0.997,3.483,0.499,9.308,5
6.812,0.601,0.176,1.891,0.078,17.949,86.47,0.997,3.593,0.572,9.293,6
7.593,0.95,0.03,1.959,0.09,6.991,20.055,0.996,3.2,0.562,9.601,5
7.602,0.68,0.019,1.296,0.073,8.955,19.595,0.996,3.168,1.08,9.188,4
7.793,0.531,0.04,1.723,0.076,16.908,31.242,0.996,3.331,0.561,10.007,6
7.392,0.598,0.257,7.274,0.07,35.958,121.195,0.998,3.37,0.492,9.4,5
7.299,0.59,0.264,7.199,0.07,34.92,120.708,0.998,3.371,0.49,9.398,5
7.765,0.629,0.481,1.684,0.099,14.017,96.688,0.996,3.19,0.622,9.488,5
6.768,0.641,0.101,2.105,0.085,18.076,101.052,0.996,3.338,0.522,10.194,5
7.298,0.549,0.031,1.608,0.072,16.9,42.73,0.996,3.369,0.481,8.999,4
6.78,0.632,0.07,2.1,0.088,11.148,43.749,0.995,3.468,0.554,10.412,6
7.519,0.703,0.238,1.803,0.36,14.825,63.051,0.996,3.001,1.59,9.504,5
7.895,0.887,0.029,1.796,0.058,4.011,8.72,0.997,3.362,0.33,9.099,4
7.989,0.42,0.17,2.004,0.073,5.929,17.85,0.997,3.292,0.611,9.205,6
7.973,0.419,0.171,1.999,0.074,6.013,18.269,0.997,3.291,0.611,9.186,6
7.396,0.62,0.054,1.9,0.068,24.18,41.81,0.996,3.42,0.571,11.495,6
7.267,0.382,0.209,2.014,0.08,7.041,35.048,0.996,3.331,0.471,9.494,5
6.888,0.5,0.037,1.487,0.085,18.995,49.552,0.996,3.352,0.781,9.505,5
7.315,0.379,0.212,1.99,0.08,7.0,35.368,0.996,3.329,0.468,9.514,5
7.491,0.52,0.42,2.272,0.088,8.067,38.394,0.997,3.58,0.612,10.491,6
7.004,0.805,0.001,2.514,0.069,7.037,19.871,0.997,3.48,0.561,9.609,5
8.817,0.607,0.14,2.39,0.067,9.914,42.426,0.997,3.189,0.591,9.503,5
8.803,0.607,0.14,2.413,0.067,9.925,41.749,0.997,3.191,0.591,9.511,5
8.914,0.61,0.49,1.995,0.27,22.923,109.975,0.997,3.123,1.021,9.291,5
7.167,0.727,0.02,2.498,0.076,15.933,41.814,0.997,3.438,0.52,9.294,5
6.826,0.614,0.198,1.805,0.077,10.995,65.204,0.997,3.543,0.584,9.294,5
6.706,0.619,0.211,1.916,0.079,7.924,61.426,0.997,3.521,0.582,9.303,6
8.883,0.312,0.57,2.016,0.111,26.121,84.88,0.997,3.259,0.53,9.694,5
7.375,0.388,0.479,2.014,0.082,14.051,66.568,0.997,3.34,0.549,9.177,5
7.695,0.708,0.1,2.609,0.083,9.002,26.173,0.998,3.392,0.491,9.702,5
7.856,0.497,0.329,2.014,0.084,15.252,143.004,0.997,3.201,0.554,9.496,5
7.905,0.493,0.32,1.884,0.082,16.97,144.026,0.997,3.2,0.55,9.508,5
8.192,0.502,0.35,2.916,0.077,20.924,126.941,0.998,3.23,0.622,9.387,5
6.396,0.371,0.253,1.903,0.074,21.012,49.078,0.997,3.57,0.622,9.797,6
6.787,0.632,0.12,3.825,0.099,15.88,126.238,0.997,3.281,0.608,9.492,5
7.572,0.55,0.209,2.203,0.072,6.872,27.87,0.996,3.279,0.551,9.686,5
7.633,0.551,0.205,2.193,0.072,7.005,27.948,0.996,3.279,0.55,9.712,5
7.797,0.593,0.33,1.997,0.074,24.096,119.961,0.997,3.252,0.539,9.41,5
7.307,0.578,0.302,2.373,0.074,15.206,54.774,0.997,3.458,0.589,10.198,5
11.508,0.297,0.598,2.022,0.067,11.964,26.746,0.998,3.111,0.969,10.099,6
5.384,0.836,0.08,1.193,0.046,12.815,93.404,0.992,3.574,0.851,13.0,7
6.899,1.09,0.059,2.129,0.061,11.873,31.38,0.995,3.51,0.426,11.393,4
9.588,0.32,0.471,1.399,0.056,9.113,24.27,0.997,3.218,0.819,10.287,7
8.783,0.37,0.478,2.108,0.097,39.03,145.167,0.998,3.04,1.03,9.302,5
6.82,0.5,0.107,1.511,0.076,15.979,49.012,0.995,3.362,0.788,9.491,5
7.016,0.421,0.346,1.602,0.088,15.939,38.993,0.996,3.338,0.548,9.228,5
7.01,0.431,0.358,1.61,0.089,13.903,37.038,0.996,3.341,0.562,9.203,6
12.785,0.3,0.741,2.606,0.096,9.042,27.588,0.999,3.2,0.773,10.806,7
12.806,0.299,0.742,2.589,0.096,9.057,27.897,0.999,3.197,0.767,10.791,7
7.815,0.571,0.31,1.789,0.069,25.916,119.94,0.996,3.289,0.529,9.285,5
7.797,0.441,0.283,2.714,0.1,18.097,95.525,0.997,3.22,0.669,9.403,5
11.008,0.299,0.576,2.1,0.053,6.896,18.516,0.998,3.308,0.88,10.483,7
9.697,0.531,0.6,1.999,0.039,4.7,18.504,0.996,3.303,0.859,12.42,6
8.012,0.725,0.241,2.792,0.084,10.194,61.992,0.997,3.35,0.561,10.016,6
11.614,0.438,0.642,2.098,0.059,5.024,14.988,0.998,3.212,0.671,10.204,6
8.211,0.571,0.26,2.204,0.06,28.168,64.69,0.996,3.302,0.43,10.097,5
7.811,0.736,0.078,2.404,0.092,9.97,40.845,0.997,3.242,0.714,9.786,6
7.018,0.494,0.49,5.608,0.06,25.969,120.621,0.997,3.339,0.76,10.506,5
8.706,0.624,0.162,1.991,0.102,13.011,48.542,0.996,3.141,0.569,10.992,5
8.116,0.723,0.221,2.2,0.071,10.83,41.212,0.997,3.357,0.551,9.089,5
7.481,0.492,0.19,1.897,0.076,10.053,44.717,0.996,3.39,0.537,9.708,5
7.813,0.53,0.331,2.364,0.079,24.009,143.918,0.996,3.3,0.597,9.503,5
7.802,0.341,0.371,1.986,0.082,24.025,57.84,0.996,3.34,0.593,9.401,6
7.39,0.527,0.259,2.012,0.101,16.02,72.324,0.996,3.149,0.571,9.405,5
6.788,0.613,0.041,1.481,0.057,5.15,9.606,0.995,3.419,0.598,9.483,5
8.612,0.642,0.253,1.99,0.083,7.816,28.09,0.998,3.279,0.598,9.983,6
8.373,0.633,0.363,1.999,0.089,14.908,55.22,0.997,3.31,0.573,10.407,4
7.698,0.43,0.25,2.602,0.073,29.087,62.451,0.996,3.366,0.578,10.491,6
8.885,0.589,0.5,2.009,0.337,27.028,81.335,0.996,3.041,1.611,9.507,6
8.955,0.822,0.143,2.594,0.089,9.011,23.286,0.998,3.392,0.631,9.796,5
7.698,0.429,0.248,2.602,0.074,28.878,62.824,0.996,3.371,0.582,10.508,6
6.919,0.521,0.25,2.611,0.08,10.012,36.67,0.997,3.459,0.502,11.005,5
5.178,0.48,0.04,1.621,0.054,18.943,106.29,0.993,3.54,0.623,12.196,7
8.025,0.38,0.057,1.802,0.078,12.12,49.21,0.996,3.367,0.523,9.894,6
8.512,0.371,0.2,2.81,0.09,17.896,57.878,0.998,3.341,0.7,9.588,6
6.922,0.518,0.249,2.625,0.081,9.942,36.851,0.997,3.458,0.503,10.994,5
8.199,1.001,0.089,2.315,0.066,6.917,37.1,0.997,3.32,0.551,9.009,6
7.196,0.628,-0.001,1.883,0.098,14.078,38.549,0.997,3.368,0.582,8.989,6
7.206,0.628,0.002,1.894,0.097,13.93,38.343,0.997,3.37,0.58,9.004,6
7.215,0.645,0.001,1.917,0.096,14.976,39.013,0.997,3.371,0.583,9.217,6
7.197,0.632,-0.001,1.884,0.097,14.02,38.458,0.997,3.367,0.579,9.015,6
8.193,0.999,0.09,2.284,0.065,7.031,36.621,0.997,3.318,0.551,8.998,6
8.912,0.638,0.369,1.713,0.264,4.971,61.612,0.997,3.0,1.091,9.294,5
11.982,0.382,0.558,2.089,0.092,6.073,23.473,0.999,3.138,0.71,10.91,6
7.716,0.58,0.1,1.84,0.101,27.994,109.081,0.996,3.079,0.489,9.793,6
14.999,0.21,0.439,2.191,0.074,9.967,24.051,1.0,3.07,0.842,9.196,7
15.02,0.211,0.439,2.184,0.075,10.237,24.008,1.0,3.07,0.841,9.19,7
7.284,0.659,-0.002,1.994,0.084,6.014,23.336,0.998,3.612,0.961,9.904,6
7.101,0.681,0.07,1.895,0.075,16.119,51.492,0.997,3.378,0.519,9.487,5
8.179,0.598,0.169,2.267,0.072,11.04,72.989,0.996,3.199,0.446,9.293,5
7.706,0.527,0.06,1.709,0.074,8.976,38.987,0.996,3.352,0.478,9.794,6
7.28,0.662,-0.001,1.991,0.083,6.178,22.791,0.998,3.612,0.964,9.878,6
10.8,0.319,0.44,1.61,0.063,16.095,36.793,0.998,3.219,0.782,10.011,6
7.08,0.599,-0.0,1.776,0.073,15.988,33.966,0.997,3.47,0.7,9.882,6
11.086,0.351,0.477,3.077,0.09,4.952,21.014,0.999,3.169,0.533,10.499,5
7.716,0.775,0.418,1.907,0.091,8.126,85.499,0.996,3.229,0.59,9.481,5
7.106,0.599,0.001,1.797,0.074,16.013,34.11,0.997,3.471,0.702,9.89,6
7.981,0.571,0.232,3.208,0.073,17.166,119.163,0.997,3.264,0.57,9.293,5
9.388,0.338,0.371,2.2,0.075,5.034,13.017,0.998,3.22,0.622,9.203,5
6.598,0.698,0.001,2.123,0.074,12.055,55.881,0.997,3.489,0.671,9.196,5
7.688,0.407,0.757,1.796,0.611,8.006,45.002,0.997,3.06,1.257,9.413,5
9.981,0.31,0.472,2.595,0.086,13.931,33.389,1.0,3.359,0.803,10.504,7
7.899,0.329,0.231,1.69,0.077,17.953,44.487,0.996,3.288,0.648,9.289,5
7.016,0.974,0.04,1.988,0.088,11.876,66.492,0.996,3.352,0.6,9.406,4
7.994,0.52,0.032,1.69,0.069,10.106,34.729,0.996,3.343,0.573,10.002,5
7.877,0.369,0.23,1.787,0.077,23.051,49.15,0.996,3.278,0.672,9.297,5
12.515,0.562,0.493,2.396,0.064,5.221,27.347,1.0,3.078,0.87,10.897,5
11.792,0.26,0.522,1.79,0.071,5.96,10.728,0.997,3.199,0.717,10.215,7
8.102,0.87,-0.001,3.3,0.096,26.017,61.14,1.0,3.601,0.721,9.785,4
7.898,0.348,0.458,3.583,0.078,14.878,37.006,0.997,3.352,0.86,12.816,8
6.9,0.541,0.041,3.001,0.077,7.086,26.918,0.999,3.69,0.91,9.399,6
11.495,0.182,0.51,3.958,0.104,4.025,23.002,1.0,3.282,0.969,10.097,6
7.9,0.544,0.058,3.993,0.088,26.842,60.615,0.996,3.361,0.67,10.692,6
11.483,0.179,0.513,3.974,0.104,3.858,22.984,1.0,3.281,0.97,10.098,6
10.923,0.371,0.578,4.006,0.072,17.026,64.928,0.999,3.219,0.781,10.102,5
8.429,0.713,0.196,2.401,0.077,10.032,38.031,0.997,3.306,0.64,9.364,5
7.49,0.649,0.18,6.991,0.088,27.095,93.787,0.999,3.38,0.769,9.396,5
7.899,0.545,0.06,3.993,0.087,27.007,60.608,0.996,3.359,0.671,10.682,6
6.895,0.539,0.038,3.008,0.078,6.864,27.422,0.999,3.69,0.91,9.397,6
11.489,0.178,0.512,4.002,0.104,4.131,23.117,1.0,3.28,0.968,10.116,6
10.314,0.318,0.451,6.402,0.073,4.908,13.311,0.998,3.228,0.82,12.603,8
8.892,0.403,0.322,5.613,0.087,9.988,46.455,0.999,3.38,0.769,10.503,7
11.414,0.263,0.437,3.587,0.071,6.097,18.761,0.999,3.119,0.82,9.305,6
7.689,0.269,0.68,3.493,0.358,5.12,10.109,0.997,3.25,1.085,9.89,7
7.628,0.524,0.121,2.996,0.068,11.877,53.072,0.997,3.36,0.57,9.108,5
8.877,0.401,0.319,5.617,0.087,10.011,46.704,0.999,3.379,0.767,10.494,7
9.897,0.591,0.07,3.401,0.102,31.96,71.469,1.0,3.311,0.711,9.79,5
9.904,0.59,0.068,3.408,0.101,32.086,71.157,1.0,3.308,0.711,9.81,5
12.0,0.446,0.55,2.015,0.074,24.986,49.058,1.0,3.102,0.761,10.312,6
7.478,0.4,0.122,2.966,0.092,29.054,53.411,0.997,3.37,0.703,10.303,6
8.709,0.522,0.092,2.492,0.091,19.879,48.703,0.998,3.34,0.862,10.604,7
11.612,0.423,0.527,3.311,0.105,32.918,98.229,1.001,3.199,0.949,9.206,5
8.707,0.518,0.088,2.483,0.091,20.025,48.995,0.998,3.34,0.86,10.627,7
10.986,0.2,0.479,1.989,0.344,5.853,18.251,0.998,3.303,0.71,10.507,5
10.418,0.549,0.229,2.695,0.091,17.87,48.256,0.999,3.219,0.639,10.298,6
6.89,0.361,0.25,2.397,0.097,4.817,15.899,0.996,3.409,0.6,10.101,6
13.316,0.338,0.518,3.216,0.094,17.11,52.167,1.001,3.05,0.808,9.509,6
10.785,0.501,0.458,2.513,0.073,4.888,26.805,1.0,3.051,0.641,9.49,5
10.595,0.831,0.369,2.593,0.086,26.13,69.747,0.998,3.158,0.52,9.894,5
7.101,0.631,0.061,1.982,0.083,8.02,29.624,0.998,3.671,0.729,9.6,5
7.178,0.648,0.019,2.313,0.094,4.896,30.998,0.999,3.67,0.802,9.717,5
6.9,0.672,0.056,2.1,0.08,7.965,33.058,0.998,3.68,0.712,9.591,5
7.493,0.529,0.058,2.6,0.085,19.937,44.323,0.996,3.381,0.588,10.695,6
